repository_name,owner,url,stars,commits,repo_age_days,open_issues,closed_issues,comments,unique_commenters,issue_span_days
awesome,sindresorhus,https://github.com/sindresorhus/awesome,474847,1202,4353,16,352,1000,348,4321
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,446621,41762,4187,102,21429,1022,141,4186
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,390099,10095,4626,34,1243,1000,213,4618
openclaw,openclaw,https://github.com/openclaw/openclaw,378200,58576,199,4342,35265,1001,298,196
react,react,https://github.com/react/react,245763,21507,4766,841,13684,1001,233,4760
superpowers,obra,https://github.com/obra/superpowers,224664,441,244,123,591,1001,425,242
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,221855,3663,3617,127,1601,1002,297,3600
vue,vuejs,https://github.com/vuejs/vue,209845,3593,4700,365,9670,1004,175,4656
computer-science,ossu,https://github.com/ossu/computer-science,204812,1105,4421,16,658,1211,221,4014
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,195607,194928,3869,1005,40519,1294,311,3864
n8n,n8n-io,https://github.com/n8n-io/n8n,192086,20662,2546,445,8932,1001,128,2503
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,187931,7800,6131,149,4907,1000,419,6119
vscode,microsoft,https://github.com/microsoft/vscode,186166,159094,3933,16254,229203,1017,369,3893
AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,184887,8691,1183,268,3589,1000,372,1170
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,184521,3781,3040,129,449,1005,294,2931
flutter,flutter,https://github.com/flutter/flutter,176880,89961,4114,12337,101686,1019,153,4060
awesome-go,avelino,https://github.com/avelino/awesome-go,175181,5411,4358,19,726,1000,220,4351
bootstrap,twbs,https://github.com/twbs/bootstrap,174306,23253,5430,290,22597,1005,328,5409
ollama,ollama,https://github.com/ollama/ollama,173885,5453,1080,2412,8129,1001,423,1079
opencode,anomalyco,https://github.com/anomalyco/opencode,173168,14072,406,5929,12223,1002,298,392
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,169883,23862,2054,1931,9682,1008,147,1981
stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,163620,7689,1389,2419,5492,1000,268,1376
transformers,huggingface,https://github.com/huggingface/transformers,161508,23092,2782,1039,18017,1002,362,2774
HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,160939,227,3690,431,2692,1000,132,3690
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,156319,6240,2957,57,1092,1000,350,2922
markitdown,microsoft,https://github.com/microsoft/markitdown,151093,309,574,406,101,1000,610,545
langflow,langflow-ai,https://github.com/langflow-ai/langflow,149551,18129,1218,233,3101,1000,335,1201
javascript,airbnb,https://github.com/airbnb/javascript,148085,1996,4969,100,1312,1018,320,4948
dify,langgenius,https://github.com/langgenius/dify,144873,11057,1156,301,17655,1001,263,1123
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,143363,3097,3124,2750,3331,1002,232,3015
open-webui,open-webui,https://github.com/open-webui/open-webui,141106,16810,978,187,8513,1004,269,968
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,140475,18977,5702,3628,23200,1000,240,5692
next.js,vercel,https://github.com/vercel/next.js,139920,34312,3535,2162,22591,1083,294,3524
langchain,langchain-ai,https://github.com/langchain-ai/langchain,139057,16170,1333,327,9335,1002,369,1324
go,golang,https://github.com/golang/go,134631,66715,4314,9726,62325,1375,14,6076
PowerToys,microsoft,https://github.com/microsoft/PowerToys,134086,9252,2598,6987,33169,1001,528,2592
claude-code,anthropics,https://github.com/anthropics/claude-code,131782,662,474,8610,56581,1000,409,472
firecrawl,firecrawl,https://github.com/firecrawl/firecrawl,131491,5628,786,59,824,1000,222,785
react-native,react,https://github.com/react/react-native,125983,40858,4171,714,26966,1005,265,4150
excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,125131,4003,2352,2196,2607,1018,155,2350
clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,124955,4394,933,379,5162,1000,319,931
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,122928,138477,4387,1785,47344,1052,98,4387
electron,electron,https://github.com/electron/electron,121599,30580,4808,734,20958,1010,251,4783
node,nodejs,https://github.com/nodejs/node,117713,47086,4214,1565,18893,1524,166,4213
iptv,iptv-org,https://github.com/iptv-org/iptv,117690,34085,2765,120,25892,1073,235,2628
ComfyUI,Comfy-Org,https://github.com/Comfy-Org/ComfyUI,116618,5426,1241,3769,4833,1000,278,1232
ui,shadcn-ui,https://github.com/shadcn-ui/ui,116305,2199,1254,987,3138,1003,605,1251
llama.cpp,ggml-org,https://github.com/ggml-org/llama.cpp,116086,9601,1189,732,7885,1004,364,1188
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,116016,11166,2082,74,4096,1000,236,2069
rust,rust-lang,https://github.com/rust-lang/rust,113754,329264,5838,11304,51402,1002,67,5834
three.js,mrdoob,https://github.com/mrdoob/three.js,112974,47363,5924,286,13355,1006,123,5889
godot,godotengine,https://github.com/godotengine/godot,112392,84023,4541,13264,49223,1053,207,4505
spec-kit,github,https://github.com/github/spec-kit,111452,1119,293,245,938,1000,369,281
TypeScript,microsoft,https://github.com/microsoft/TypeScript,109175,36765,4377,5016,38113,1025,230,4348
axios,axios,https://github.com/axios/axios,109074,2083,4314,116,4920,1010,495,4289
v2rayN,2dust,https://github.com/2dust/v2rayN,108696,2776,2508,15,6887,1004,321,2508
tauri,tauri-apps,https://github.com/tauri-apps/tauri,107757,6016,2525,1299,5014,1033,210,2524
frp,fatedier,https://github.com/fatedier/frp,107264,1459,3825,45,4066,1004,271,3717
deno,denoland,https://github.com/denoland/deno,107023,16642,2949,1075,13400,1001,258,2935
nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,105300,3916,3191,52,286,1008,149,3119
gemini-cli,google-gemini,https://github.com/google-gemini/gemini-cli,105171,6250,420,1076,12818,1000,356,419
supabase,supabase,https://github.com/supabase/supabase,104035,36798,2434,242,5375,1014,296,2407
DeepSeek-V3,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-V3,103737,73,532,184,793,1005,507,532
terminal,microsoft,https://github.com/microsoft/terminal,103550,4949,3226,1649,12305,1009,210,3223
create-react-app,react,https://github.com/react/create-react-app,103330,2819,3616,1857,6576,1000,187,3611
immich,immich-app,https://github.com/immich-app/immich,103086,10257,1589,489,8093,1009,196,1587
pytorch,pytorch,https://github.com/pytorch/pytorch,100658,105920,3589,15418,43767,1715,209,3586
HowToCook,Anduin2017,https://github.com/Anduin2017/HowToCook,100592,2606,2294,458,389,1007,502,2288
neovim,neovim,https://github.com/neovim/neovim,100324,36823,4514,1638,12598,1075,173,4493
angular,angular,https://github.com/angular/angular,100300,37673,4284,989,29719,1001,93,4527
cc-switch,farion1231,https://github.com/farion1231/cc-switch,98467,1922,311,1053,2010,1000,255,289
material-ui,mui,https://github.com/mui/material-ui,98397,28336,4315,1390,19082,1008,388,4254
ant-design,ant-design,https://github.com/ant-design/ant-design,98330,32287,4066,1232,31439,1003,194,4049
browser-use,browser-use,https://github.com/browser-use/browser-use,98313,9716,588,64,1479,1002,440,582
thefuck,nvbn,https://github.com/nvbn/thefuck,97309,1651,4082,304,483,1008,296,4016
tailwindcss,tailwindlabs,https://github.com/tailwindlabs/tailwindcss,95478,6768,3170,42,4812,1003,340,3143
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,94510,6341,3319,250,7122,1012,263,3283
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,94121,4397,4324,127,854,1004,148,4255
nvm,nvm-sh,https://github.com/nvm-sh/nvm,93766,2344,5901,333,2090,1007,359,5895
Deep-Live-Cam,hacksider,https://github.com/hacksider/Deep-Live-Cam,93724,615,991,87,1076,1000,505,975
weekly,ruanyf,https://github.com/ruanyf/weekly,93616,828,2798,8076,1471,1000,433,2798
bun,oven-sh,https://github.com/oven-sh/bun,93097,15692,1884,5141,11742,1001,367,1763
DeepSeek-R1,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-R1,92008,36,507,25,688,1001,514,506
playwright,microsoft,https://github.com/microsoft/playwright,90755,17205,2400,136,17380,1002,330,2396
codex,openai,https://github.com/openai/codex,90455,7361,424,6297,8473,1002,473,421
storybook,storybookjs,https://github.com/storybookjs/storybook,90280,80769,3737,1668,12701,1033,297,3732
vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,90259,1020,3342,1256,2358,1000,320,3279
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,89363,49268,5653,341,8782,1006,192,5652
opencv,opencv,https://github.com/opencv/opencv,88903,36260,5075,2539,9012,1000,460,3976
gin,gin-gonic,https://github.com/gin-gonic/gin,88662,1996,4377,602,1793,1027,328,4355
mermaid,mermaid-js,https://github.com/mermaid-js/mermaid,88592,15366,4239,1405,2313,1000,290,4212
hugo,gohugoio,https://github.com/gohugoio/hugo,88520,9800,4725,199,7954,1010,201,4718
NextChat,ChatGPTNextWeb,https://github.com/ChatGPTNextWeb/NextChat,88224,3093,1189,707,2900,1074,342,1163
uptime-kuma,louislam,https://github.com/louislam/uptime-kuma,87884,7130,1804,689,4140,1001,377,1795
core,home-assistant,https://github.com/home-assistant/core,87652,111357,4650,2605,68589,1038,139,4234
manim,3b1b,https://github.com/3b1b/manim,87523,6369,4099,467,769,1000,325,3570
svelte,sveltejs,https://github.com/sveltejs/svelte,87156,11252,3490,929,8162,1000,226,3489
servers,modelcontextprotocol,https://github.com/modelcontextprotocol/servers,87069,4112,569,277,825,1005,484,562
uv,astral-sh,https://github.com/astral-sh/uv,86275,9339,982,2326,6695,1006,128,980
MoneyPrinterTurbo,harry0703,https://github.com/harry0703/MoneyPrinterTurbo,86008,603,822,21,689,1000,273,821
syncthing,syncthing,https://github.com/syncthing/syncthing,85233,8125,4580,371,5539,1003,152,4540
zed,zed-industries,https://github.com/zed-industries/zed,85021,38433,1937,2650,18664,1010,193,1900
sherlock,sherlock-project,https://github.com/sherlock-project/sherlock,84880,2919,2726,90,1086,1001,252,2723
realworld,realworld-apps,https://github.com/realworld-apps/realworld,83529,1144,3757,27,521,1000,189,3622
localsend,localsend,https://github.com/localsend/localsend,83193,1848,1273,923,750,1001,370,1257
animate.css,animate-css,https://github.com/animate-css/animate.css,82588,664,5356,42,843,1000,328,5282
vllm,vllm-project,https://github.com/vllm-project/vllm,82575,17526,1218,1999,13964,1002,496,1166
ragflow,infiniflow,https://github.com/infiniflow/ragflow,82473,6725,912,3003,4305,1000,355,825
PaddleOCR,PaddlePaddle,https://github.com/PaddlePaddle/PaddleOCR,81853,6916,2225,157,10489,1001,203,2219
claude-mem,thedotmack,https://github.com/thedotmack/claude-mem,81807,2008,283,29,1574,1003,264,275
FiraCode,tonsky,https://github.com/tonsky/FiraCode,81720,626,4230,422,963,1000,348,4218
vite,vitejs,https://github.com/vitejs/vite,81400,9324,2242,504,8152,1003,320,2242
fzf,junegunn,https://github.com/junegunn/fzf,80970,3650,4614,256,2909,1001,193,4600
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,80873,61546,4983,479,41979,1002,172,4696
Stirling-PDF,Stirling-Tools,https://github.com/Stirling-Tools/Stirling-PDF,80645,5235,1231,322,1438,1004,262,1228
github-readme-stats,anuraghazra,https://github.com/anuraghazra/github-readme-stats,79630,1786,2163,166,1238,1041,199,2162
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,79488,6134,2486,541,1915,1010,170,2484
lazygit,jesseduffield,https://github.com/jesseduffield/lazygit,79227,7574,2945,830,1796,1001,224,2864
netdata,netdata,https://github.com/netdata/netdata,79120,22364,4742,171,8078,1002,197,4740
lobehub,lobehub,https://github.com/lobehub/lobehub,78511,11200,1117,117,5851,1007,97,1052
code-server,coder,https://github.com/coder/code-server,77905,4175,2661,137,3698,1005,276,2651
models,tensorflow,https://github.com/tensorflow/models,77667,9745,3779,1083,6240,1002,351,3694
gpt4all,nomic-ai,https://github.com/nomic-ai/gpt4all,77352,2289,1172,724,1495,1014,498,1132
Ventoy,ventoy,https://github.com/ventoy/Ventoy,77155,1166,2284,851,1906,1010,232,2256
elasticsearch,elastic,https://github.com/elastic/elasticsearch,76942,101153,5967,4640,40659,1002,153,5965
Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,76654,21,5228,295,19633,1002,537,5206
OpenHands,OpenHands,https://github.com/OpenHands/OpenHands,76475,6859,820,142,3977,1004,221,819
json-server,typicode,https://github.com/typicode/json-server,75584,1042,4579,615,574,1001,400,4530
redis,redis,https://github.com/redis/redis,74824,13126,6290,2231,4763,1000,357,5982
tesseract,tesseract-ocr,https://github.com/tesseract-ocr/tesseract,74630,6615,4321,432,2331,1048,163,4223
grafana,grafana,https://github.com/grafana/grafana,74349,69935,4565,3070,41154,1065,351,4529
openai-cookbook,openai,https://github.com/openai/openai-cookbook,74127,1402,1553,63,721,1001,299,1388
imgui,ocornut,https://github.com/ocornut/imgui,73778,9914,4343,1056,5832,1018,147,4318
the-algorithm,twitter,https://github.com/twitter/the-algorithm,73414,31,1172,318,753,1001,527,1164
caddy,caddyserver,https://github.com/caddyserver/caddy,73318,2597,4167,194,4372,1037,181,4061
superset,apache,https://github.com/apache/superset,73254,20537,3978,614,11846,1001,345,3976
RuView,ruvnet,https://github.com/ruvnet/RuView,73176,898,369,42,288,1011,235,293
cpython,python,https://github.com/python/cpython,73170,131775,3408,7161,69535,1002,53,9501
obs-studio,obsproject,https://github.com/obsproject/obs-studio,73106,15577,4636,760,4323,1015,247,4590
stable-diffusion,CompVis,https://github.com/CompVis/stable-diffusion,73098,33,1401,540,199,1007,372,1392
screenshot-to-code,abi,https://github.com/abi/screenshot-to-code,72869,1334,940,118,283,1003,299,907
daytona,daytonaio,https://github.com/daytonaio/daytona,72456,2688,856,305,917,1002,86,835
strapi,strapi,https://github.com/strapi/strapi,72336,37298,3907,389,11650,1015,239,3904
AppFlowy,AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy,72248,7209,1821,945,3152,1001,328,1669
LlamaFactory,hiyouga,https://github.com/hiyouga/LlamaFactory,72090,3043,1110,967,7021,1003,271,1105
tabby,Eugeny,https://github.com/Eugeny/tabby,72067,6467,3457,2619,3601,1002,319,3269
reveal.js,hakimel,https://github.com/hakimel/reveal.js,71668,3356,5483,798,1710,1005,295,5299
moby,moby,https://github.com/moby/moby,71667,56768,4892,3250,20246,1004,216,4889
protobuf,protocolbuffers,https://github.com/protocolbuffers/protobuf,71338,23294,4307,116,6742,1010,309,4305
deer-flow,bytedance,https://github.com/bytedance/deer-flow,70984,2254,400,568,948,1000,365,399
gpt_academic,binary-husky,https://github.com/binary-husky/gpt_academic,70864,2403,1179,292,1485,1002,304,1166
act,nektos,https://github.com/nektos/act,70804,1317,2716,254,1081,1019,394,2696
swift,swiftlang,https://github.com/swiftlang/swift,70039,201644,3883,7552,10325,1000,101,3869
anime,juliangarnier,https://github.com/juliangarnier/anime,69718,904,3741,96,750,1003,335,3616
ghidra,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,69521,17687,2659,1549,4447,1013,349,2654
AFFiNE,toeverything,https://github.com/toeverything/AFFiNE,69278,11316,1411,549,3269,1006,132,1410
express,expressjs,https://github.com/expressjs/express,69140,6146,6194,104,3949,1002,108,6180
OpenBB,OpenBB-finance,https://github.com/OpenBB-finance/OpenBB,68955,6852,1999,39,2267,1002,161,1923
ansible,ansible,https://github.com/ansible/ansible,68854,55471,5210,520,32860,1003,109,5210
MetaGPT,FoundationAgents,https://github.com/FoundationAgents/MetaGPT,68726,6367,1077,21,930,1015,333,1072
node,base,https://github.com/base/node,68524,279,1226,11,350,1002,241,1203
crawl4ai,unclecode,https://github.com/unclecode/crawl4ai,68280,1533,763,21,960,1002,220,759
Apollo-11,chrislgarry,https://github.com/chrislgarry/Apollo-11,68061,586,4452,58,331,1003,451,3570
Chart.js,chartjs,https://github.com/chartjs/Chart.js,67483,4585,4833,493,6818,1000,517,4824
echarts,apache,https://github.com/apache/echarts,66560,10379,4817,1469,17886,1001,180,4754
scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,66295,33744,5777,1518,10612,1029,88,5763
unsloth,unslothai,https://github.com/unslothai/unsloth,66253,5637,925,1090,2460,1003,241,923
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,65823,3211,3617,11,1222,1006,325,3430
webpack,webpack,https://github.com/webpack/webpack,65782,18806,5206,95,10097,1001,158,5091
uBlock,gorhill,https://github.com/gorhill/uBlock,65406,13965,4089,13,3434,1002,173,2361
docusaurus,facebook,https://github.com/facebook/docusaurus,65177,6656,3278,294,3151,1003,201,3254
ripgrep,BurntSushi,https://github.com/BurntSushi/ripgrep,65030,2216,3744,117,1683,1054,254,3556
alacritty,alacritty,https://github.com/alacritty/alacritty,64556,2486,3766,325,5986,1018,353,3550
